Date,Open,High,Low,Close,Volume
7/21/2014,83.46,83.53,81.81,81.93,2359300
7/18/2014,83.3,83.4,82.52,83.35,4020800
7/17/2014,84.35,84.63,83.33,83.63,1974000
7/16/2014,83.77,84.91,83.66,84.91,1755600
7/15/2014,84.3,84.38,83.2,83.58,1874700
7/14/2014,83.66,84.64,83.11,84.4,1432100
7/11/2014,83.55,83.98,82.85,83.35,2001400
7/10/2014,85.2,85.57,83.36,83.42,2713300
7/9/2014,84.83,85.79,84.76,85.5,1540700
7/8/2014,86.29,86.57,84.69,84.69,2164000
7/7/2014,86.97,87.13,85.82,86.07,1644600
7/4/2014,87.22,87.54,87.05,87.05,1392600
7/3/2014,86.02,87.42,85.88,87.14,1985800
7/2/2014,85.68,85.91,85.37,85.84,1490000
7/1/2014,85.28,85.43,84.73,85.36,1507400
6/30/2014,84.93,85.76,84.7,85.03,2713200
6/27/2014,84.76,85.31,84.32,84.64,2156600
6/26/2014,86.5,86.5,84.73,85,2161200
6/25/2014,86.22,86.74,85.96,86.02,2359500
6/24/2014,87.12,87.21,86.17,86.52,2162700
6/23/2014,87.5,87.59,86.54,86.78,1906700
6/20/2014,87.2,88.28,86.85,87.36,8315300
6/19/2014,86.9,87.57,86.67,87.03,2349800
6/18/2014,86.16,86.66,86,86.02,1702700
6/17/2014,85.39,86.19,85.3,86.11,1731700
6/16/2014,85.17,85.72,85.02,85.17,1692400
6/13/2014,85.9,85.96,84.93,85.5,1855100
6/12/2014,85.71,86.35,85.55,86.2,2643800
6/11/2014,85.69,86.23,85.38,85.71,1837100
6/10/2014,86.12,86.15,85.56,85.87,2062500
6/9/2014,86,86.24,85.65,86.1,1076500
6/6/2014,85.43,85.94,84.88,85.86,2142700
6/5/2014,85.01,85.95,84.56,85.43,2921800
6/4/2014,84.89,85.35,84.67,85.09,2180100
6/3/2014,84.68,84.86,84.1,84.86,1629800
6/2/2014,84.89,85,84.26,84.5,1425800
5/30/2014,84.9,84.95,84.13,84.47,1815800
5/29/2014,84.66,84.88,84.25,84.73,994100
5/28/2014,84.44,84.81,84.08,84.81,1837000
5/27/2014,83.6,84.45,83.36,84.44,2097000
5/26/2014,83.65,83.95,83.31,83.77,1320000
5/23/2014,83.2,83.23,82.49,83.08,1596900
